
--- Updating Card Dump ---
--- Reading from Tag ---

[*] Full card dump:
Block 00: a0 e9 66 95 ba 08 04 00 03 20 c9 41 25 d1 63 90 | Decoded: Not readable plaintext
Block 29: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 31: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 32: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 33: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 34: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 35: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 36: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 37: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 38: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 39: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 41: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 42: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 43: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 44: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 45: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 46: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 47: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 48: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 49: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 51: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 52: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 53: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 54: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 55: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 56: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 57: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 58: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 59: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 61: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 62: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 63: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext

--- Updating Card Dump ---
--- Reading from Tag ---

[*] Full card dump:
Block 00: a0 e9 66 95 ba 08 04 00 03 20 c9 41 25 d1 63 90 | Decoded: Not readable plaintext
Block 01: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 02: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 03: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 04: 0e db ce f4 67 fb 53 15 ca f6 34 37 91 74 6e 87 | Decoded: Not readable plaintext
Block 05: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 07: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 08: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 09: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 11: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 12: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 13: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 14: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 15: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 16: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 17: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 18: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 19: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 21: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 22: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 23: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 24: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 25: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 26: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 27: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 28: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 29: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 31: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 32: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 33: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 34: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 35: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 36: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 37: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 38: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 39: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 41: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 42: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 43: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 44: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 45: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 46: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 47: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 48: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 49: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 51: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 52: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 53: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 54: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 55: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 56: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 57: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 58: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 59: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 61: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 62: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 63: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext

--- Updating Card Dump ---
--- Reading from Tag ---

[*] Full card dump:
Block 00: a0 e9 66 95 ba 08 04 00 03 20 c9 41 25 d1 63 90 | Decoded: Not readable plaintext
Block 01: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 02: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 03: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 04: 0e db ce f4 67 fb 53 15 ca f6 34 37 91 74 6e 87 | Decoded: Not readable plaintext
Block 05: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 07: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 08: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 09: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 11: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 12: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 13: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 14: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 15: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 16: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 17: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 18: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 19: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 21: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 22: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 23: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 24: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 25: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 26: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 27: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 28: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 29: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 31: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 32: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 33: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 34: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 35: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 36: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 37: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 38: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 39: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 41: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 42: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 43: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 44: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 45: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 46: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 47: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 48: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 49: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 51: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 52: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 53: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 54: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 55: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 56: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 57: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 58: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 59: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 61: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 62: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 63: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext

--- Updating Card Dump ---
--- Reading from Tag ---

[*] Full card dump:
Block 00: a0 e9 66 95 ba 08 04 00 03 20 c9 41 25 d1 63 90 | Decoded: Not readable plaintext
Block 01: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 02: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 03: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 04: 0e db ce f4 67 fb 53 15 ca f6 34 37 91 74 6e 87 | Decoded: Not readable plaintext
Block 05: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 07: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 08: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 09: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 11: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 12: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 13: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 14: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 15: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 16: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 17: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 18: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 19: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 21: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 22: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 23: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 24: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 25: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 26: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 27: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 28: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 29: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 31: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 32: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 33: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 34: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 35: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 36: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 37: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 38: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 39: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 41: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 42: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 43: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 44: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 45: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 46: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 47: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 48: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 49: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 51: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 52: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 53: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 54: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 55: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 56: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 57: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 58: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 59: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 60: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 61: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 62: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 63: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext

--- Updating Card Dump ---
--- Reading from Tag ---

[*] Full card dump:
Block 00: a0 e9 66 95 ba 08 04 00 03 20 c9 41 25 d1 63 90 | Decoded: Not readable plaintext
Block 01: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 02: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 03: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 04: 0e db ce f4 67 fb 53 15 ca f6 34 37 91 74 6e 87 | Decoded: Not readable plaintext
Block 05: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 06: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 07: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 08: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 09: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 10: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 11: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 12: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 13: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 14: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 15: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 16: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 17: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 18: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 19: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 21: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 22: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 23: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 24: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 25: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 26: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 27: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 28: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 29: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 30: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 31: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 32: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 33: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 34: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 35: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 36: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 37: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 38: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 39: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 40: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 41: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 42: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 43: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 44: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 45: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 46: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 47: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 48: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 49: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 50: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 51: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 52: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 53: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 54: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 55: ff ff ff ff ff ff ff 07 80 69 00 00 00 00 00 00 | Decoded: Not readable plaintext
Block 56: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 57: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
Block 58: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 | Decoded: 
